u,g,r,i,z,class
18.93767,17.039379999999998,15.98915,15.44581,15.03827,GALAXY
18.42466,17.311139999999998,16.86756,16.49834,16.38268,GALAXY
19.25039,17.7472,16.92814,16.50326,16.189,GALAXY
18.94856,16.84368,15.929329999999998,15.47422,15.16574,GALAXY
18.86524,16.95443,16.07183,15.663720000000001,15.32779,GALAXY
19.08925,17.905179999999998,17.24444,16.84689,16.65044,GALAXY
17.98749,17.639860000000002,17.62483,17.51446,17.40864,QSO
18.60858,18.3943,17.97889,17.67771,17.41788,QSO
19.272489999999998,18.938,19.07538,18.97121,18.53289,QSO
19.58224,17.84509,16.91743,16.45711,16.0843,GALAXY
18.08888,17.8812,17.92886,17.91861,17.87477,QSO
19.394470000000002,18.15789,17.48086,17.11394,16.84401,GALAXY
19.58401,19.16389,19.25299,19.11003,19.07074,QSO
18.5148,16.71343,15.82549,15.38536,15.051260000000001,GALAXY
19.29062,18.25167,17.87047,17.60295,17.411579999999997,GALAXY
18.52403,17.932370000000002,17.67834,17.35799,17.25856,QSO
19.51098,18.26393,17.6392,17.31244,17.101229999999997,GALAXY
19.33437,17.43978,16.50767,16.080170000000003,15.726070000000002,GALAXY
18.92513,17.12865,16.28882,15.88916,15.55971,GALAXY
19.54199,17.9816,17.15263,16.69644,16.3836,GALAXY
19.07996,17.771829999999998,16.984460000000002,16.520570000000003,16.23232,GALAXY
19.40941,17.39433,16.22501,15.708470000000002,15.32784,GALAXY
19.46637,17.75113,16.9141,16.48538,16.172439999999998,GALAXY
18.68233,16.69888,15.779639999999999,15.295779999999999,14.90465,GALAXY
18.95887,18.03206,17.611439999999998,17.30547,17.16969,GALAXY
18.909679999999998,17.21305,16.20324,15.72231,15.36365,GALAXY
18.38006,17.34208,16.84147,16.531779999999998,16.2851,GALAXY
18.856370000000002,18.55511,18.55415,18.6992,18.49768,QSO
19.31413,18.1806,17.486929999999997,17.1275,16.8691,GALAXY
18.816779999999998,17.560229999999997,17.06816,16.71169,16.552220000000002,GALAXY
17.34864,16.15052,15.67937,15.435310000000001,15.28948,GALAXY
19.471870000000003,17.32594,16.31857,15.86014,15.50101,GALAXY
19.114829999999998,18.67407,18.5162,18.29861,18.16791,QSO
19.594,19.22645,19.11404,19.201060000000002,19.03172,QSO
18.84446,18.2403,18.11104,18.09678,18.75779,QSO
18.85241,17.8265,17.12216,16.613970000000002,16.3577,GALAXY
19.45825,19.35359,19.320320000000002,19.05197,19.09674,QSO
18.25114,16.83991,16.248639999999998,15.93053,15.680660000000001,GALAXY
19.43826,19.33031,19.05002,18.95199,18.96106,QSO
18.4726,17.76839,17.11554,16.66927,16.61423,QSO
19.18739,18.0741,17.583920000000003,17.22191,17.067999999999998,GALAXY
19.09631,18.071720000000003,17.70784,17.46893,17.32909,GALAXY
19.45032,17.2371,16.17099,15.714939999999999,15.3413,GALAXY
19.336,17.60238,16.7511,16.32818,16.11413,GALAXY
17.15553,15.6869,15.04357,14.7336,14.54848,GALAXY
19.08458,18.894370000000002,18.538339999999998,18.43919,18.51611,QSO
19.598670000000002,18.23924,17.415779999999998,16.93299,16.62071,GALAXY
19.37394,18.007379999999998,17.38312,17.06794,16.84787,GALAXY
19.51751,18.27744,17.5747,17.19397,16.91538,GALAXY
18.84188,17.41048,16.83841,16.50232,16.28355,GALAXY
19.07323,17.78666,17.128020000000003,16.783820000000002,16.55444,GALAXY
19.07522,18.14067,17.80732,17.554370000000002,17.54675,GALAXY
18.73041,16.848029999999998,16.02648,15.7019,15.328120000000002,GALAXY
18.860120000000002,16.94029,15.950529999999999,15.49838,15.1591,GALAXY
19.395770000000002,17.497629999999997,16.39663,15.93162,15.572410000000001,GALAXY
19.41488,17.85149,17.46815,17.19211,17.155910000000002,GALAXY
19.08145,18.00655,17.68385,17.44339,17.29731,GALAXY
19.10165,17.51894,16.704539999999998,16.3083,16.00096,GALAXY
19.21432,17.57845,16.7113,16.24201,15.86849,GALAXY
19.14034,17.492829999999998,16.706039999999998,16.287470000000003,15.97316,GALAXY
18.51896,17.47866,17.09928,16.88366,16.70378,GALAXY
19.06101,17.85848,17.2717,16.91881,16.71885,GALAXY
19.573710000000002,17.962329999999998,17.245070000000002,16.834889999999998,16.51444,GALAXY
18.884829999999997,17.43037,16.84284,16.625999999999998,16.51594,GALAXY
19.43346,17.7176,16.88137,16.49053,16.168979999999998,GALAXY
19.59374,18.92144,18.98625,18.89045,18.57761,QSO
18.18269,16.94943,16.50861,16.18127,16.001360000000002,GALAXY
19.36927,17.72965,16.8427,16.38455,16.0342,GALAXY
18.78267,18.84516,19.14891,19.44819,19.69568,QSO
18.099,16.57377,15.821639999999999,15.41395,15.05655,GALAXY
18.32219,17.696460000000002,16.992729999999998,16.37076,16.187839999999998,QSO
18.38005,17.39123,16.94809,16.74055,16.49096,GALAXY
19.52815,18.26354,17.74263,17.38522,17.19209,GALAXY
17.75,17.56899,17.459570000000003,17.26641,17.12872,QSO
17.88137,16.047279999999997,15.16184,14.742920000000002,14.405389999999999,GALAXY
18.99687,18.5011,18.02337,17.56481,17.41525,QSO
18.97854,17.30369,16.50015,16.11895,15.81758,GALAXY
19.21552,18.05197,17.373639999999998,16.92055,16.720589999999998,GALAXY
19.4903,18.93554,18.81717,18.78225,18.61853,QSO
19.46152,17.859820000000003,17.012620000000002,16.57516,16.27524,GALAXY
19.595,18.504620000000003,17.94004,17.54632,17.35004,GALAXY
19.30167,18.66633,18.17921,17.83391,17.747729999999997,QSO
19.48149,18.11705,17.40277,16.9852,16.70838,GALAXY
19.12245,17.941760000000002,17.50754,17.2924,17.15077,GALAXY
18.704439999999998,16.5701,15.49399,15.02028,14.667570000000001,GALAXY
17.6867,16.550539999999998,16.09487,15.8504,15.62863,GALAXY
17.971239999999998,17.82222,17.82584,18.02029,17.94781,QSO
17.3681,16.44278,16.00884,15.70776,15.467210000000001,GALAXY
19.125970000000002,19.044610000000002,18.97297,18.72703,18.60249,QSO
19.076810000000002,18.76139,18.70317,18.64986,18.59498,QSO
19.17369,17.869020000000003,17.22089,16.857329999999997,16.62957,GALAXY
19.31071,18.12092,17.61613,17.28959,17.06097,GALAXY
18.20669,16.83948,16.317,16.0051,15.796560000000001,GALAXY
18.39937,17.17676,16.65416,16.4008,16.24116,GALAXY
17.15772,15.214889999999999,14.331610000000001,13.891589999999999,13.56734,GALAXY
